Marka;Historia marki;Tagi;Czy wyœwietlaæ
Aberlour;Nazwa „Aberlour” wywodzi siê z jêzyka gaelickiego i oznacza „ujœcie szczebioc¹cego strumienia”. W Szkocji jest to miejsce gdzie górski potok Lour spotyka siê z rzek¹ Spey. To w³aœnie tej wyj¹tkowo miêkkiej wodzie Aberlour zawdziêcza swój niepowtarzalny styl. Pewnego mistycyzmu dodaje fakt, i¿ destylarnia zosta³a wybudowana nieopodal studni Œw. Drostana – nieocenionego Ÿród³a krystalicznie czystej wody. Historia tej¿e studni siêga tysi¹ca lat wstecz, kiedy to stanowi³a œwiête miejsce dla Druidów czcz¹cych duchy wody i dêbu. W póŸniejszych czasach wod¹ z tej w³aœnie studni Œwiêty Drostan chrzci³ pierwszych na tych ziemiach Chrzeœcijan.;Whisky, Szkocja, Single malt, Speyside;1
Absolut;G³ówne sk³adniki Absolut Vodka to woda i zbo¿e ozime. Woda jest czerpana ze studni g³êbinowej w Ahus, szczelnie chronionej przed wszelkimi zanieczyszczeniami. Pszenicê ozim¹ wyró¿nia od innych upraw to, ¿e jest siana jesieni¹ o tej samej porze, ale zbierana dopiero w nastêpnym roku. Zbo¿e roœnie pod szwedzkim œniegiem, rozwijaj¹c twarde ziarna, a zastosowanie nawozów jest zminimalizowane.;Wódka, Szwecja, Pszenica;1
Amaretto;"Nazwa „Amaretto” pochodzi od w³oskiego s³owa „Amaro”, co t³umaczy siê jako „lekko gorzki""";Likier, W³ochy;1
Amaro;"Terminem ""Amaro"" okreœle siê w³oskie likiery zio³owe zazwyczaj pijane jako digestiff. Maj¹ s³odko-gorzki smak oraz zawartoœæ alkoholu na poziomie 16-40%.";Likiery, W³ochy;1
Angel's Envy;0;Whisky, Bourbon;1
Ardbeg;Ardbeg znajduje siê na po³udniowym wybrze¿u Islay. Destylarnia powsta³a w 1815 chocia¿ alkohol w tym miejscu destylowano nielegalnie ju¿ od ponad 20 lat. Destylarnia czêsto zmienia³a w³aœcicieli i mia³a du¿o przerw w produkcji. Z tego powodu by³a ona whisky bardzo cenion¹, ale nie popularn¹. Prawdziwy renesans nasta³ dopiero w roku 1997 roku kiedy destylarniê Ardbeg wykupi³a Glenmorangie. Rozpoczêto wtedy siln¹ i przede wszystkim skuteczn¹ promocjê whisky, która pozwoli³a na przywrócienie jej dawnego statusu gwiazdy z Islay.;Whisky, Szkocja, Single malt, Islay;1
Bacardi;0;Rum, Kuba;1
Ballantine's;0;Whisky, Szkocja, Blended/Single malt;1
Balvenie;Balvenie Distillery – destylarnia single malt whisky, znajduj¹ca siê w mieœcie Dufftown w Szkocji, w rejonie Speyside. Na pocz¹tku 1892 roku rozpoczêto pracê nad przerobieniem XVIII wiecznej posiad³oœci (Balvenie New House) na destylarniê. Budynek ukoñczono w piêtnaœcie miesiêcy i 1 maja 1893 w gorzelni Balvenie odby³a siê pierwsza destylacja. Za³o¿ycielem i d³ugoletnim managerem by³ William Grant. Dziœ destylarnia jest jednym z czo³owych producentów szkockiej, znanym na ca³ym œwiecie.;Whisky, Szkocja, Single malt, Speyside;1
Bank's 5 Blend;0;Rum, Blended;1
